observation_date,PAYEMS_20091002,GDP_20090930
6/1/1977,82488.0,
7/1/1977,82836.0,2066.0
8/1/1977,83074.0,
9/1/1977,83532.0,
10/1/1977,83794.0,2110.8
11/1/1977,84173.0,
12/1/1977,84408.0,
1/1/1978,84595.0,2149.1
2/1/1978,84948.0,
3/1/1978,85461.0,
4/1/1978,86163.0,2274.7
5/1/1978,86509.0,
6/1/1978,86951.0,
7/1/1978,87205.0,2335.2
8/1/1978,87481.0,
9/1/1978,87618.0,
10/1/1978,87954.0,2416.0
11/1/1978,88391.0,
12/1/1978,88674.0,
1/1/1979,88811.0,2463.3
2/1/1979,89054.0,
3/1/1979,89480.0,
4/1/1979,89418.0,2526.4
5/1/1979,89790.0,
6/1/1979,90108.0,
7/1/1979,90214.0,2599.7
8/1/1979,90296.0,
9/1/1979,90323.0,
10/1/1979,90480.0,2659.4
11/1/1979,90574.0,
12/1/1979,90669.0,
1/1/1980,90800.0,2724.1
2/1/1980,90879.0,
3/1/1980,90991.0,
4/1/1980,90846.0,2728.0
5/1/1980,90415.0,
6/1/1980,90095.0,
7/1/1980,89832.0,2785.2
8/1/1980,90092.0,
9/1/1980,90205.0,
10/1/1980,90485.0,2915.3
11/1/1980,90741.0,
12/1/1980,90936.0,
1/1/1981,91031.0,3051.4
2/1/1981,91098.0,
3/1/1981,91202.0,
4/1/1981,91276.0,3084.3
5/1/1981,91286.0,
6/1/1981,91482.0,
7/1/1981,91594.0,3177.0
8/1/1981,91558.0,
9/1/1981,91471.0,
10/1/1981,91371.0,3194.7
11/1/1981,91162.0,
12/1/1981,90884.0,
1/1/1982,90557.0,3184.9
2/1/1982,90551.0,
3/1/1982,90422.0,
4/1/1982,90141.0,3240.9
5/1/1982,90096.0,
6/1/1982,89853.0,
7/1/1982,89510.0,3274.4
8/1/1982,89352.0,
9/1/1982,89171.0,
10/1/1982,88894.0,3312.5
11/1/1982,88770.0,
12/1/1982,88756.0,
1/1/1983,88981.0,3381.0
2/1/1983,88903.0,
3/1/1983,89076.0,
4/1/1983,89352.0,3482.2
5/1/1983,89629.0,
6/1/1983,90007.0,
7/1/1983,90425.0,3587.1
8/1/1983,90117.0,
9/1/1983,91231.0,
10/1/1983,91502.0,3688.1
11/1/1983,91854.0,
12/1/1983,92210.0,
1/1/1984,92657.0,3807.4
2/1/1984,93136.0,
3/1/1984,93411.0,
4/1/1984,93774.0,3906.3
5/1/1984,94082.0,
6/1/1984,94461.0,
7/1/1984,94773.0,3976.0
8/1/1984,95014.0,
9/1/1984,95325.0,
10/1/1984,95611.0,4034.0
11/1/1984,95960.0,
12/1/1984,96087.0,
1/1/1985,96353.0,4117.2
2/1/1985,96477.0,
3/1/1985,96823.0,
4/1/1985,97018.0,4175.7
5/1/1985,97292.0,
6/1/1985,97437.0,
7/1/1985,97626.0,4258.3
8/1/1985,97819.0,
9/1/1985,98023.0,
10/1/1985,98210.0,4318.7
11/1/1985,98419.0,
12/1/1985,98587.0,
1/1/1986,98710.0,4382.4
2/1/1986,98817.0,
3/1/1986,98910.0,
4/1/1986,99098.0,4423.2
